TTS name,ar_nar,TTS type,vocoder,implementation_difficulty,implementation_link,zero_shot
XTTS,NAR,llm,HiFiGAN / iSTFTNet,Medium,https://github.com/coqui-ai/TTS,Yes
StyleTTS2,NAR,diffusion,HiFiGAN / iSTFTNet,Medium,https://github.com/yl4579/StyleTTS2,Yes
Tortoise-TTS,AR,"transformer, diffusion",UnivNet,Easy,https://github.com/neonbjb/tortoise-tts,Yes
Bark (Suno),AR,"transformer, llm",SoundStream,Easy,https://github.com/suno-ai/bark,Partial
CosyVoice2,AR,"flow, llm",HiFiGAN,Easy,https://github.com/FunAudioLLM/CosyVoice,Yes
F5-TTS,NAR,"diffusion, flow",Vocos,Medium,https://github.com/SWivid/F5-TTS,Yes
E2TTS,NAR,"transformer, flow",BigVGAN,Hard,https://github.com/SWivid/F5-TTS,Yes
MetaVoice-1B,NAR,"transformer, llm",multi-band diffusion,Easy,https://github.com/metavoiceio/metavoice-src,Yes
MaskGCT,NAR,"transformer, llm",Vocos,Medium,https://github.com/open-mmlab/Amphion,Yes
MatchaTTS,NAR,"transformer, flow",HiFi-GAN,Easy,https://github.com/shivammehta25/Matcha-TTS,No
Fish-Speech,AR,"transformer, llm",Firefly-GAN / FF-GAN,Medium,https://github.com/fishaudio/fish-speech,Yes
SSRSpeech,AR,transformer,Transformer,Medium,https://github.com/WangHelin1997/SSR-Speech,Yes
LLASA,AR,"transformer, llm",Vocos,Medium,https://github.com/zhenye234/LLaSA_training,Yes
VALL-E,AR,llm,Encodec,Hard,https://github.com/Plachtaa/VALL-E-X,Yes
ParlerTTS,AR,"transformer, llm",RVQ,Easy,https://github.com/huggingface/parler-tts,No
